Keyword Deutsch;Keyword Abkürzung;Keyword Englisch;;Erläuterung
Aluminium;Al;Aluminum, Aluminium;;
Ammonium;NH4;Ammonium;;
anorganischer Kohlenstoff;IC;Inorganic Carbon;;
anorganischer Stickstoff;IN;Inorganic Nitrogen;;gestrichen, BB
Antimon;Sb;Antimony;;Kwaufschluss und -extrakt muss auf dasselbe hinweisen. Vorschlag: Königswasserextrakt als übergeordneten Begriff, sie Zeile 51, BB
Arsen;As;Arsenic;;lösung gestr. da Fehler bei Datenübernahme aus den Steckbriefen, BB
Barium;Ba;Barium;;
Blei;Pb;Lead;;
Bor;B;Boron;;
Cadmium;Cd;Cadmium;;
Caesium;Cs;Caesium;;
Calcium;Ca;Calcium;;
Calciumcarbonat;CaCO3;Calcium carbonate;;
Calciumchlorid;CaCl2;Calcium chloride;;
Chlorid;Cl;Chloride;;
Chrom;Cr;Chromium;;
effektive Kationaustauschkapazität;KAKeff, Ake;Effective Cation-exchange capacity;;
Eisen;Fe;Iron;;
elektrische Leitfähigkeit, Kunduktivität;;Electrical resistivity, conductivity;;"Karbonatgehalt statt Carbonatgehalt, Zusammenfassung aller ""C""/""K""arbonat(e) zu Karbonatgehalt, BB"
Fluorid;;Flouride;;
gelöster anorganischer Kohlenstoff;DIC;Dissolved Inorganic Carbon;;
gelöster anorganischer Stickstoff;DIN;Dissolved Inorganic Nitrogen;;
gesamter anorganischer Kohlenstoff;TIC;Total Inorganic Carbon;; El Symbol / Bezeichnung getauscht, BB
gesamter anorganischer Stickstoff;TIN;Totoal Organic Nitrogen;;
Gesamtkohlenstoff;TC;Total Carbon;;
Gesamtstickstoff;TN;Total Nitrogen;;
Kalium;K;Potassium;;
Kaliumchlorid;KCl;Potassium chloride;;
Kalk;;Lime;;
Kalkgehalt;;Lime content;;
Karbonatgehalt;;Carbonate content;;"Vorschlag: das Feld sollte auch zu den einzelnen Schwermetallen führen --> Cd, Cr, Cu, Ni, Pb, Zn ; BB + MA"
Kationaustauschkapazität;KAK, T-Wert;Cation-exchange capacity;;
Kationen;;Cations;;
Kobalt;Co;Cobalt;;
Kohlenstoffbilanz;;Carbon balance;;
Kohlenstoffflüsse;;Carbon flows;;fachlich eigentlich nicht sauber, dennoch i d Bodensch. verwendet. Besser einheitlich dt und engl  Karbonatgehalt Kalkgehalt, BB
Kohlenstoffimmobilisierung;;Carbon immobilisation;;
Königswasser;;Aqua regia;;
Königswasseraufschluss;;Aqua regia digestion;;
Königswasserextrakt;;Aqua regia extract;;
Kupfer;Cu;Copper;;
Magnesium ;Mg;Magnesium;;
Mangan;Mn;Manganese;;
MIR-Spektren ;;MIR spectra;;
Nährstoffgehalte;;nutrient loads, nutrient content;;
Natrium;Na;Sodium;;"übergeordneter Begriff zu N, P, K etc.; Vorschlag: Verweis auf N,P,Na,K , Mg, S, Cl, Ca  in der Recherche ; BB+MA"
Nickel;Ni;Nickel;;
Nitrat;NO3;Nitrate;;
Nitrit;NO2;Nitrite;;
N-Tiefenverlagerung ;;N-depth displacement;;
Phosphat;PO4;Phosphate;;
Phosphor;P;Phosphorus;;
pH-Wert, pH;;pH value;;
potentielle Kationaustauschkapazität;KAKpot, Akt;Potential Cation-exchange capacity;;
Quecksilber;Hg;Mercury;;
Redoxpotenzial, Redoxpotential;;redox potential;;
Schwefel;S;Sulfur;;
Schwermetallgehalte;;heavy metal contents;;
Silicium;Si;Silicon;;
Silikat;;Silicate;;
Stickstoff;N;Nitrogen;;
Strontium;Sr;Strontium;;
Sulfat;SO4;Sulfate;;
Titan;Ti ;Titanium;;
Vanadium;V;Vanadium;;
Wasser;H2O;water;;
Wasserstoff;H;Hydrogen;;
Zink;Zn;Zinc;;
;;;;
;;;;
;;;;
