Keyword Deutsch;Keyword Abkürzung;Keyword Englisch;Anmerkungen;;;;;;;;;
Aggregatstabilität;;aggregate stability;;;;;;;;;;
Bodenrohdichte;;bulk density;;;;;;;;;;
Lagerungsdichte;;deposit density;;;;;;;;;;
Ton;T;clay;;;;;;;;;;
Klimatische Wasserbilanz;;climatic water balance;;;;;;;;;;
Grobton;;coarse clay;;;;;;;;;;
Grobbodenanteil ;;coarse fragments, stone content;"fragments gestrichen BB; RB: coarse fragments ist mir sehr geläufig, coarse soil proportuion ist aus meiner Sicht unüblich";;;;;;;;;
Groblehm;;coarse loam;Anm. Einar Eberhardt: ?? direkte Übersetzung aus dem Englischen? Begriff im Deutschen meines Wissens nicht gebräuchlich --> sandiger Lehm, Sandlehm;;;;;;;;;
Grobsand;;coarse sand;;;;;;;;;;
Grobschluff;;coarse silt;;;;;;;;;;
Verdichtung;;compaction;;;;;;;;;;
Leitfähigkeit;;conductivity;;;;;;;;;;
Trockenraumdichte;;dry bulk density;;;;;;;;;;
Trockenrohdichte;;dry raw density;;;;;;;;;;
Trockensubstanz ;;dry substance;;;;;;;;;;
Feldkapazität;;field capacity;;;;;;;;;;
Feinton;;fine clay;;;;;;;;;;
Feinlehm;;fine loam;Anm. Einar Eberhardt: ?? direkte Übersetzung aus dem Englischen? Begriff im Deutschen meines Wissens nicht gebräuchlich --> toniger Lehm, Tonlehm;;;;;;;;;
Feindurchwurzelung;;fine root penetration;;;;;;;;;;
Feinsand;;fine sand;;;;;;;;;;
Feinschluff;;fine silt;;;;;;;;;;
Feinbodenvorrat;;fine soil stock, amount of fine earth;;;;;;;;;;
Humusbilanz ;;humus balance;;;;;;;;;;
Humusgehalt;;humus content;;;;;;;;;;
Humusfraktionen;;humus fraction;;;;;;;;;;
Humusvorräte ;;humus stock;;;;;;;;;;
Infiltrationsrate ;;infiltration rate ;;;;;;;;;;
Lehm;L;loam;;;;;;;;;;
Mittelton;;medium clay;;;;;;;;;;
Mittelsand;;medium sand;;;;;;;;;;
Mittelschluff;;medium silt;;;;;;;;;;
Humushaushalt ;;organic matter content;"gestr, BB; RB: nicht streichen; übersetzen durch: organic matter content";;;;;;;;;
Kornfeuchtigkeit ;;particle moisture;RB: was ist das?;;;;;;;;;
Korngröße;;particle size;;;;;;;;;;
Korngrößenverteilung;;particle size distribution;;;;;;;;;;
pF-Wert;;pF value;;;;;;;;;;
Sand;S;sand;;;;;;;;;;
Sickergeschwindigkeit ;;seepage rate;;;;;;;;;;
Sickerwasser ;;seepage water, leachate;;;;;;;;;;
Schluff;U;silt;;;;;;;;;;
Bodentragfähigkeit ;;soil bearing capacity;;;;;;;;;;
Bodenfruchtbarkeit ;;soil fertility;;;;;;;;;;
Bodenfeuchte;;soil moisture;;;;;;;;;;
Saugspannung;;soil moisture tension, suction power;;;;;;;;;;
Bodensickerwasser;;soil seepage water, soil leachate;;;;;;;;;;
Bodengefüge;;Soil structure;;;;;;;;;;
Bodentemperatur ;;soil temperature;;;;;;;;;;
Körnungsart;;soil texture;;;;;;;;;;
Bodenwasser;;soil water;;;;;;;;;;
Festsubstanzdichte;;solid substance density;;;;;;;;;;
spez. Leitfähigkeit (25°C);;specific conductiviy (25°C), EC;;hinzugenommen BB;;;;;;;;
Wasserhaushalt ;;water balance;;;;;;;;;;
Wasserleitfähigkeit;;water conductivity;;;;;;;;;;
Wassergehalt;;water content;;;;;;;;;;
Wassertemperatur;;water temperature;;;;;;;;;;
